n 200, BTC size 200
0, 0.0112129
1, 0.0112206
2, 0.0112283
3, 0.0112361
4, 0.0112439
5, 0.0112518
6, 0.0112596
7, 0.0112675
8, 0.0112754
9, 0.0112833
10, 0.0112913
11, 0.0112993
12, 0.0113073
13, 0.0113153
14, 0.0113234
15, 0.0113315
16, 0.0113396
17, 0.0113477
18, 0.0113558
19, 0.011364
20, 0.0113722
21, 0.0113804
22, 0.0113886
23, 0.0113969
24, 0.0114051
25, 0.0114134
26, 0.0114217
27, 0.0114301
28, 0.0114384
29, 0.0114468
30, 0.0114552
31, 0.0114635
32, 0.011472
33, 0.0114804
34, 0.0114888
35, 0.0114973
36, 0.0115058
37, 0.0115142
38, 0.0115227
39, 0.0115312
40, 0.0115398
41, 0.0115483
42, 0.0115568
43, 0.0115654
44, 0.011574
45, 0.0115825
46, 0.0115911
47, 0.0115997
48, 0.0116083
49, 0.0116169
50, 0.0116256
51, 0.0116342
52, 0.0116428
53, 0.0116515
54, 0.0116601
55, 0.0116687
56, 0.0116774
57, 0.0116861
58, 0.0116947
59, 0.0117034
60, 0.011712
61, 0.0117207
62, 0.0117294
63, 0.011738
64, 0.0117467
65, 0.0117554
66, 0.011764
67, 0.0117727
68, 0.0117813
69, 0.01179
70, 0.0117987
71, 0.0118073
72, 0.011816
73, 0.0118246
74, 0.0118332
75, 0.0118419
76, 0.0118505
77, 0.0118591
78, 0.0118677
79, 0.0118763
80, 0.0118849
81, 0.0118935
82, 0.0119021
83, 0.0119106
84, 0.0119192
85, 0.0119277
86, 0.0119362
87, 0.0119448
88, 0.0119533
89, 0.0119618
90, 0.0119702
91, 0.0119787
92, 0.0119871
93, 0.0119956
94, 0.012004
95, 0.0120124
96, 0.0120208
97, 0.0120291
98, 0.0120375
99, 0.0120458
100, 0.0120541
101, 0.0120624
102, 0.0120707
103, 0.0120789
104, 0.0120872
105, 0.0120954
106, 0.0121036
107, 0.0121117
108, 0.0121199
109, 0.012128
110, 0.0121361
111, 0.0121442
112, 0.0121522
113, 0.0121603
114, 0.0121683
115, 0.0121762
116, 0.0121842
117, 0.0121921
118, 0.0122
119, 0.0122079
120, 0.0122157
121, 0.0122236
122, 0.0122313
123, 0.0122391
124, 0.0122468
125, 0.0122545
126, 0.0122622
127, 0.0122699
128, 0.0122775
129, 0.0122851
130, 0.0122926
131, 0.0123001
132, 0.0123076
133, 0.0123151
134, 0.0123225
135, 0.0123299
136, 0.0123373
137, 0.0123446
138, 0.0123519
139, 0.0123592
140, 0.0123664
141, 0.0123736
142, 0.0123808
143, 0.0123879
144, 0.012395
145, 0.0124021
146, 0.0124091
147, 0.0124161
148, 0.0124231
149, 0.01243
150, 0.0124369
151, 0.0124438
152, 0.0124506
153, 0.0124574
154, 0.0124641
155, 0.0124708
156, 0.0124775
157, 0.0124842
158, 0.0124908
159, 0.0124973
160, 0.0125039
161, 0.0125104
162, 0.0125168
163, 0.0125232
164, 0.0125296
165, 0.012536
166, 0.0125423
167, 0.0125485
168, 0.0125548
169, 0.012561
170, 0.0125671
171, 0.0125733
172, 0.0125793
173, 0.0125854
174, 0.0125914
175, 0.0125974
176, 0.0126033
177, 0.0126092
178, 0.0126151
179, 0.0126209
180, 0.0126267
181, 0.0126324
182, 0.0126381
183, 0.0126438
184, 0.0126494
185, 0.012655
186, 0.0126606
187, 0.0126661
188, 0.0126716
189, 0.012677
190, 0.0126824
191, 0.0126878
192, 0.0126931
193, 0.0126984
194, 0.0127037
195, 0.0127089
196, 0.0127141
197, 0.0127192
198, 0.0127243
199, 0.0127294
